,Charging Power (kW)
0,0.8429475083687274
1,0.9700586405830594
2,1.0737545642315933
3,1.1339651005436453
4,1.1440001899289873
5,0.9031580446807795
6,0.7526317039006495
7,0.5418948268084677
8,0.4214737541843637
9,0.3010526815602598
10,0.21073687709218186
11,0.12042107262410393
12,0.07827369720566754
13,0.06021053631205196
14,0.01806316089361559
15,0.01505263407801299
16,0.006021053631205197
17,0.0030105268156025984
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.45157902234038977
47,0.6021053631205197
48,0.8429475083687274
49,0.9700586405830594
50,1.0737545642315933
51,1.1339651005436453
52,1.1440001899289873
53,0.9031580446807795
54,0.7526317039006495
55,0.5418948268084677
56,0.4214737541843637
57,0.3010526815602598
58,0.21073687709218186
59,0.12042107262410393
60,0.07827369720566754
61,0.06021053631205196
62,0.01806316089361559
63,0.01505263407801299
64,0.006021053631205197
65,0.0030105268156025984
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.45157902234038977
95,0.6021053631205197
96,0.8429475083687274
97,0.9700586405830594
98,1.0737545642315933
99,1.1339651005436453
100,1.1440001899289873
101,0.9031580446807795
102,0.7526317039006495
103,0.5418948268084677
104,0.4214737541843637
105,0.3010526815602598
106,0.21073687709218186
107,0.12042107262410393
108,0.07827369720566754
109,0.06021053631205196
110,0.01806316089361559
111,0.01505263407801299
112,0.006021053631205197
113,0.0030105268156025984
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.45157902234038977
143,0.6021053631205197
144,0.8429475083687274
145,0.9700586405830594
146,1.0737545642315933
147,1.1339651005436453
148,1.1440001899289873
149,0.9031580446807795
150,0.7526317039006495
151,0.5418948268084677
152,0.4214737541843637
153,0.3010526815602598
154,0.21073687709218186
155,0.12042107262410393
156,0.07827369720566754
157,0.06021053631205196
158,0.01806316089361559
159,0.01505263407801299
160,0.006021053631205197
161,0.0030105268156025984
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.45157902234038977
191,0.6021053631205197
192,0.8429475083687274
193,0.9700586405830594
194,1.0737545642315933
195,1.1339651005436453
196,1.1440001899289873
197,0.9031580446807795
198,0.7526317039006495
199,0.5418948268084677
200,0.4214737541843637
201,0.3010526815602598
202,0.21073687709218186
203,0.12042107262410393
204,0.07827369720566754
205,0.06021053631205196
206,0.01806316089361559
207,0.01505263407801299
208,0.006021053631205197
209,0.0030105268156025984
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.45157902234038977
239,0.6021053631205197
240,0.8429475083687274
241,0.9700586405830594
242,1.0737545642315933
243,1.1339651005436453
244,1.1440001899289873
245,0.9031580446807795
246,0.7526317039006495
247,0.5418948268084677
248,0.4214737541843637
249,0.3010526815602598
250,0.21073687709218186
251,0.12042107262410393
252,0.07827369720566754
253,0.06021053631205196
254,0.01806316089361559
