,Power (kW)
0,0.8323580069374318
1,0.915593807631175
2,0.9274846363017099
3,0.9037029789606403
4,0.9037029789606403
5,0.8918121502901055
6,0.8918121502901055
7,0.8918121502901055
8,0.915593807631175
9,0.9393754649722446
10,0.9512662936427794
11,1.0345020943365224
12,1.1534103810418699
13,1.3912269544525646
14,1.6884976712159332
15,2.1284583320257187
16,2.7586722515640596
17,3.424558657114005
18,4.185571692028229
19,4.506624066132667
20,4.5898598668264095
21,4.637423181508549
22,4.661204838849619
23,4.684986496190688
24,4.625532352838015
25,4.459060751450528
26,4.245025835380902
27,4.209353349369298
28,4.209353349369298
29,4.185571692028229
30,4.11422672000502
31,4.019100090640742
32,3.9001918039353947
33,3.6980477165363044
34,3.2105237410443803
35,2.485183192141761
36,1.9619867306382321
37,1.7598426432391416
38,1.6647160138748636
39,1.5576985558400511
40,1.4744627551463079
41,1.3674452971114952
42,1.2604278390766825
43,1.1653012097124047
44,1.0820654090186614
45,1.0463929230070572
46,0.9869387796543835
47,0.9274846363017099
48,0.8442488356079666
49,0.915593807631175
50,0.9274846363017099
51,0.9037029789606403
52,0.8918121502901055
53,0.8918121502901055
54,0.8918121502901055
55,0.8799213216195708
56,0.9037029789606403
57,0.9037029789606403
58,0.9037029789606403
59,0.9274846363017099
60,0.9750479509838487
61,1.0345020943365224
62,1.1653012097124047
63,1.3436636397704256
64,1.6290435278632596
65,2.0333317026614406
66,2.711108936881921
67,3.008379653645289
68,3.0797246256684976
69,3.103506283009567
70,3.1153971116801022
71,3.0916154543390326
72,2.8656897095988727
73,2.687327279540851
74,2.485183192141761
75,2.390056562777483
76,2.3187115907542744
77,2.28303910474267
78,2.247366618731066
79,2.211694132719462
80,2.1403491606962533
81,2.0452225313319756
82,1.8787509299444891
83,1.5458077271695163
84,1.4268994404641688
85,1.3674452971114952
86,1.3198819824293564
87,1.248537010406148
88,1.200973695724009
89,1.1771920383829393
90,1.1534103810418699
91,1.1177378950302657
92,1.058283751677592
93,1.0226112656659878
94,0.9750479509838487
95,0.9750479509838487
96,0.8680304929490361
97,0.9393754649722446
98,0.9393754649722446
99,0.9037029789606403
100,0.8799213216195708
101,0.8680304929490361
102,0.8680304929490361
103,0.8561396642785013
104,0.8561396642785013
105,0.8442488356079666
106,0.8323580069374318
107,0.8442488356079666
108,0.8799213216195708
109,0.9037029789606403
110,0.9393754649722446
111,0.9631571223133141
112,0.9988296083249182
113,1.058283751677592
114,1.1296287237008003
115,1.2604278390766825
116,1.3436636397704256
117,1.3793361257820298
118,1.415008611793634
119,1.415008611793634
120,1.3555544684409604
121,1.3436636397704256
122,1.2842094964177522
123,1.2842094964177522
124,1.2842094964177522
125,1.2723186677472174
126,1.2604278390766825
127,1.2366461817356131
128,1.2604278390766825
129,1.248537010406148
130,1.189082867053474
131,1.2366461817356131
132,1.2604278390766825
133,1.2723186677472174
134,1.2604278390766825
135,1.189082867053474
136,1.141519552371335
137,1.105847066359731
138,1.0701745803481266
139,1.0345020943365224
140,0.9750479509838487
141,0.9512662936427794
142,0.9037029789606403
143,0.8561396642785013
144,0.8323580069374318
145,0.915593807631175
146,0.9274846363017099
147,0.9037029789606403
148,0.9037029789606403
149,0.8918121502901055
150,0.8918121502901055
151,0.8918121502901055
152,0.915593807631175
153,0.9393754649722446
154,0.9512662936427794
155,1.0345020943365224
156,1.1534103810418699
157,1.3912269544525646
158,1.6884976712159332
159,2.1284583320257187
160,2.7586722515640596
161,3.424558657114005
162,4.185571692028229
163,4.506624066132667
164,4.5898598668264095
165,4.637423181508549
166,4.661204838849619
167,4.684986496190688
168,4.625532352838015
169,4.459060751450528
170,4.245025835380902
171,4.209353349369298
172,4.209353349369298
173,4.185571692028229
174,4.11422672000502
175,4.019100090640742
176,3.9001918039353947
177,3.6980477165363044
178,3.2105237410443803
179,2.485183192141761
180,1.9619867306382321
181,1.7598426432391416
182,1.6647160138748636
183,1.5576985558400511
184,1.4744627551463079
185,1.3674452971114952
186,1.2604278390766825
187,1.1653012097124047
188,1.0820654090186614
189,1.0463929230070572
190,0.9869387796543835
191,0.9274846363017099
192,0.8323580069374318
193,0.915593807631175
194,0.9274846363017099
195,0.9037029789606403
196,0.9037029789606403
197,0.8918121502901055
198,0.8918121502901055
199,0.8918121502901055
200,0.915593807631175
201,0.9393754649722446
202,0.9512662936427794
203,1.0345020943365224
204,1.1534103810418699
205,1.3912269544525646
206,1.6884976712159332
207,2.1284583320257187
208,2.7586722515640596
209,3.424558657114005
210,4.185571692028229
211,4.506624066132667
212,4.5898598668264095
