,Power (kW)
0,1.6655416056190282
1,1.8320957661809312
2,1.8558892176897746
3,1.808302314672088
4,1.808302314672088
5,1.7845088631632446
6,1.7845088631632446
7,1.7845088631632446
8,1.8320957661809312
9,1.8796826691986177
10,1.903476120707461
11,2.070030281269364
12,2.3079647963577963
13,2.7838338265346616
14,3.378670114255743
15,4.259027820082944
16,5.520080750051636
17,6.852514034546859
18,8.375294931112828
19,9.017718121851596
20,9.184272282413499
21,9.279446088448871
22,9.327032991466558
23,9.374619894484246
24,9.25565263694003
25,8.922544315816223
26,8.494262188657045
27,8.422881834130514
28,8.422881834130514
29,8.375294931112828
30,8.232534222059769
31,8.042186609989022
32,7.80425209490059
33,7.399763419250254
34,6.424231907387681
35,4.972831365348242
36,3.925919498959138
37,3.5214308233088025
38,3.3310832112380564
39,3.1169421476584676
40,2.9503879870965646
41,2.736246923516975
42,2.522105859937386
43,2.3317582478666394
44,2.165204087304737
45,2.093823732778207
46,1.9748564752339905
47,1.8558892176897746
48,1.6893350571278716
49,1.8320957661809312
50,1.8558892176897746
51,1.808302314672088
52,1.7845088631632446
53,1.7845088631632446
54,1.7845088631632446
55,1.7607154116544013
56,1.808302314672088
57,1.808302314672088
58,1.808302314672088
59,1.8558892176897746
60,1.9510630237251474
61,2.070030281269364
62,2.3317582478666394
63,2.6886600204992885
64,3.259702856711527
65,4.068680208012197
66,5.424906944016263
67,6.019743231737345
68,6.162503940790405
69,6.210090843808091
70,6.233884295316935
71,6.186297392299248
72,5.734221813631226
73,5.377320040998577
74,4.972831365348242
75,4.7824837532774955
76,4.639723044224436
77,4.568342689697906
78,4.496962335171376
79,4.425581980644847
80,4.2828212715917875
81,4.092473659521041
82,3.7593653383972354
83,3.093148696149624
84,2.8552141810611915
85,2.736246923516975
86,2.6410731174816022
87,2.4983124084285424
88,2.4031386023931693
89,2.355551699375483
90,2.3079647963577963
91,2.2365844418312664
92,2.11761718428705
93,2.0462368297605207
94,1.9510630237251474
95,1.9510630237251474
96,1.736921960145558
97,1.8796826691986177
98,1.8796826691986177
99,1.808302314672088
100,1.7607154116544013
101,1.736921960145558
102,1.736921960145558
103,1.7131285086367147
104,1.7131285086367147
105,1.6893350571278716
106,1.6655416056190282
107,1.6893350571278716
108,1.7607154116544013
109,1.808302314672088
110,1.8796826691986177
111,1.9272695722163042
112,1.998649926742834
113,2.11761718428705
114,2.26037789334011
115,2.522105859937386
116,2.6886600204992885
117,2.760040375025818
118,2.831420729552348
119,2.831420729552348
120,2.7124534720081317
121,2.6886600204992885
122,2.5696927629550723
123,2.5696927629550723
124,2.5696927629550723
125,2.545899311446229
126,2.522105859937386
127,2.4745189569196993
128,2.522105859937386
129,2.4983124084285424
130,2.379345150884326
131,2.4745189569196993
132,2.522105859937386
133,2.545899311446229
134,2.522105859937386
135,2.379345150884326
136,2.284171344848953
137,2.2127909903224237
138,2.1414106357958937
139,2.070030281269364
140,1.9510630237251474
141,1.903476120707461
142,1.808302314672088
143,1.7131285086367147
144,1.6655416056190282
145,1.8320957661809312
146,1.8558892176897746
147,1.808302314672088
148,1.808302314672088
149,1.7845088631632446
150,1.7845088631632446
151,1.7845088631632446
152,1.8320957661809312
153,1.8796826691986177
154,1.903476120707461
155,2.070030281269364
156,2.3079647963577963
157,2.7838338265346616
158,3.378670114255743
159,4.259027820082944
160,5.520080750051636
161,6.852514034546859
162,8.375294931112828
163,9.017718121851596
164,9.184272282413499
165,9.279446088448871
166,9.327032991466558
167,9.374619894484246
168,9.25565263694003
169,8.922544315816223
170,8.494262188657045
171,8.422881834130514
172,8.422881834130514
173,8.375294931112828
174,8.232534222059769
175,8.042186609989022
176,7.80425209490059
177,7.399763419250254
178,6.424231907387681
179,4.972831365348242
180,3.925919498959138
181,3.5214308233088025
182,3.3310832112380564
183,3.1169421476584676
184,2.9503879870965646
185,2.736246923516975
186,2.522105859937386
187,2.3317582478666394
188,2.165204087304737
189,2.093823732778207
190,1.9748564752339905
191,1.8558892176897746
192,1.6655416056190282
193,1.8320957661809312
194,1.8558892176897746
195,1.808302314672088
196,1.808302314672088
197,1.7845088631632446
198,1.7845088631632446
199,1.7845088631632446
200,1.8320957661809312
201,1.8796826691986177
202,1.903476120707461
203,2.070030281269364
204,2.3079647963577963
205,2.7838338265346616
206,3.378670114255743
207,4.259027820082944
208,5.520080750051636
209,6.852514034546859
210,8.375294931112828
211,9.017718121851596
212,9.184272282413499
