Time,Charging Power (kW)
12:00 am,0
12:30 am,0
1:00 am,0
1:30 am,0
2:00 am,0
2:30 am,0
3:00 am,0
3:30 am,0
4:00 am,0
4:30 am,0
5:00 am,0
5:30 am,0
6:00 am,0
6:30 am,0
7:00 am,0
7:30 am,0
8:00 am,0
8:30 am,0
9:00 am,2.7
9:30 am,3.6
10:00 am,5.04
10:30 am,5.8
11:00 am,6.42
11:30 am,6.78
12:00 pm,6.84
12:30 pm,5.4
1:00 pm,4.5
1:30 pm,3.24
2:00 pm,2.52
2:30 pm,1.8
3:00 pm,1.26
3:30 pm,0.72
4:00 pm,0.468
4:30 pm,0.36
5:00 pm,0.108
5:30 pm,0.09
6:00 pm,0.036
6:30 pm,0.018
7:00 pm,0
7:30 pm,0
8:00 pm,0
8:30 pm,0
9:00 pm,0
9:30 pm,0
10:00 pm,0
10:30 pm,0
11:00 pm,0
11:30 pm,0
