Time,Charging Power (kW)
12:30 am,5.4
1:00 am,6.12
1:30 am,6.48
2:00 am,6.84
2:30 am,5.4
3:00 am,4.5
3:30 am,3.24
4:00 am,2.52
4:30 am,1.8
5:00 am,1.26
5:30 am,0.72
6:00 am,0.468
6:30 am,0.36
7:00 am,0.108
7:30 am,0.09
8:00 am,0.036
8:30 am,0.018
9:00 am,0
9:30 am,0
10:00 am,0
10:30 am,0
11:00 am,0
11:30 am,0
12:00 pm,0
12:30 pm,0
1:00 pm,0
1:30 pm,0
2:00 pm,0
2:30 pm,0
3:00 pm,0
3:30 pm,0
4:00 pm,0
4:30 pm,0
5:00 pm,0
5:30 pm,0
6:00 pm,0
6:30 pm,0
7:00 pm,0
7:30 pm,0
8:00 pm,0
8:30 pm,0
9:00 pm,0
9:30 pm,0
10:00 pm,0
10:30 pm,0
11:00 pm,2.7
11:30 pm,3.6
12:00 am,5.04
