Time,Aut Wd,Aut Sat,Aut Sun,Hsr Wd,Hsr Sat,Hsr Sun,Smr Wd,Smr Sat,Smr Sun,Spr Wd,Spr Sat,Spr Sun,Wtr Wd,Wtr Sat,Wtr Sun
00:30,0.6,0.65,0.68,0.63,0.68,0.67,0.62,0.68,0.68,0.64,0.66,0.7,0.7,0.71,0.73
01:00,0.57,0.61,0.65,0.59,0.63,0.63,0.59,0.64,0.64,0.6,0.61,0.63,0.77,0.77,0.79
01:30,0.56,0.6,0.62,0.57,0.62,0.61,0.58,0.61,0.6,0.6,0.59,0.62,0.78,0.78,0.79
02:00,0.55,0.57,0.59,0.56,0.6,0.58,0.58,0.61,0.59,0.64,0.63,0.64,0.76,0.76,0.76
02:30,0.54,0.56,0.57,0.56,0.57,0.57,0.57,0.59,0.57,0.63,0.62,0.65,0.76,0.75,0.74
03:00,0.54,0.55,0.55,0.55,0.57,0.56,0.56,0.59,0.55,0.62,0.62,0.63,0.75,0.75,0.73
03:30,0.54,0.55,0.54,0.55,0.57,0.56,0.56,0.58,0.56,0.62,0.6,0.61,0.75,0.75,0.73
04:00,0.54,0.55,0.53,0.55,0.58,0.56,0.56,0.57,0.54,0.62,0.59,0.6,0.75,0.74,0.72
04:30,0.56,0.55,0.54,0.56,0.58,0.55,0.58,0.57,0.54,0.62,0.6,0.6,0.77,0.76,0.72
05:00,0.56,0.55,0.53,0.56,0.57,0.56,0.58,0.58,0.55,0.63,0.6,0.61,0.79,0.76,0.71
05:30,0.58,0.56,0.53,0.57,0.59,0.55,0.59,0.58,0.53,0.65,0.62,0.63,0.8,0.76,0.7
06:00,0.64,0.6,0.55,0.61,0.59,0.54,0.62,0.6,0.53,0.68,0.63,0.61,0.87,0.78,0.71
06:30,0.71,0.64,0.57,0.66,0.62,0.55,0.66,0.6,0.55,0.73,0.65,0.63,0.97,0.82,0.74
07:00,0.89,0.7,0.6,0.77,0.66,0.59,0.76,0.65,0.57,0.84,0.68,0.66,1.17,0.87,0.76
07:30,1.08,0.79,0.63,0.92,0.74,0.6,0.95,0.74,0.6,1.05,0.78,0.66,1.42,0.98,0.79
08:00,1.41,0.91,0.68,1.22,0.91,0.65,1.3,0.9,0.65,1.41,0.99,0.71,1.79,1.13,0.81
