date,min_level,avg_level,max_level
2012-11-26,0.370,0.380,0.400
2012-11-27,0.560,0.570,0.570
2012-11-28,0.510,0.540,0.560
2012-11-29,0.450,0.480,0.510
2012-11-30,0.370,0.410,0.440
2012-12-01,0.300,0.330,0.360
2012-12-02,0.150,0.210,0.290
2012-12-03,0.060,0.090,0.130
2012-12-04,0.000,0.160,1.280
2012-12-05,0.020,0.340,1.260
2012-12-06,0.010,0.300,1.250
2012-12-07,0.000,0.270,1.260
2012-12-08,0.000,0.830,1.250
2012-12-09,0.020,0.330,1.240
2012-12-10,0.000,0.300,1.240
2012-12-11,0.030,0.060,0.080
2012-12-12,0.050,0.070,0.090
2012-12-13,0.070,0.090,0.100
2012-12-14,0.090,0.100,0.140
2012-12-15,0.100,0.160,0.220
2012-12-19,0.020,0.440,1.240
2012-12-20,0.010,1.180,1.430
2012-12-21,0.010,0.610,1.420
2012-12-22,0.070,0.110,0.160
2012-12-23,0.120,0.220,0.260
2012-12-24,0.260,0.320,0.370
2012-12-25,0.360,0.420,0.450
2012-12-26,0.450,0.450,0.450
2012-12-27,0.490,0.490,0.500
2012-12-28,0.430,0.460,0.480
2012-12-29,0.360,0.400,0.430
2012-12-30,0.320,0.350,0.370
2012-12-31,0.290,0.300,0.310
2013-01-01,0.320,0.320,0.320
2013-01-02,0.300,0.320,0.340
2013-01-03,0.250,0.290,0.320
2013-01-04,0.140,0.190,0.240
2013-01-05,0.010,0.070,0.130
2013-01-06,0.060,0.070,0.080
2013-01-07,0.010,0.050,0.070
2013-01-08,0.010,0.030,0.050
2013-01-09,0.000,0.010,0.020
2013-01-10,0.030,0.040,0.050
2013-01-11,0.010,0.090,0.150
2013-01-12,0.130,0.150,0.170
2013-01-13,0.140,0.160,0.170
2013-01-14,0.110,0.120,0.140
2013-01-15,0.130,0.160,0.180
2013-01-16,0.120,0.160,0.190
2013-01-17,0.060,0.110,0.160
2013-01-18,0.140,0.150,0.160
2013-01-19,0.120,0.130,0.140
2013-01-20,0.100,0.110,0.120
2013-01-21,0.070,0.080,0.100
2013-01-22,0.070,0.070,0.080
2013-01-23,0.060,0.070,0.080
2013-01-24,0.070,0.080,0.090
2013-01-25,0.090,0.100,0.110
2013-01-26,0.060,0.120,0.210
2013-01-27,0.060,0.110,0.160
2013-01-28,0.090,0.120,0.140
2013-01-29,0.150,0.190,0.260
2013-01-30,0.220,0.250,0.270
2013-01-31,0.150,0.180,0.210
2013-02-01,0.120,0.140,0.150
2013-02-02,0.050,0.090,0.130
2013-02-03,0.010,0.050,0.070
2013-02-04,0.000,0.040,0.070
2013-02-05,0.010,0.030,0.050
2013-02-06,0.070,0.080,0.100
2013-02-07,0.030,0.070,0.080
2013-02-08,0.020,0.070,0.110
2013-02-09,0.070,0.080,0.090
2013-02-10,0.070,0.110,0.180
2013-02-11,0.050,0.180,0.290
2013-02-12,0.060,0.090,0.120
2013-02-13,0.130,0.170,0.200
2013-02-14,0.120,0.170,0.220
2013-02-15,0.060,0.080,0.110
2013-02-16,0.050,0.070,0.110
2013-02-17,0.080,0.110,0.130
2013-02-18,0.010,0.050,0.080
2013-02-19,0.010,0.070,0.110
2013-02-20,0.010,0.080,0.130
2013-02-21,0.060,0.100,0.130
2013-02-22,0.000,0.060,0.120
2013-02-23,0.040,0.070,0.110
2013-02-24,0.010,0.100,0.180
2013-02-25,0.150,0.160,0.170
2013-02-26,0.120,0.140,0.160
2013-02-27,0.110,0.120,0.130
2013-02-28,0.050,0.080,0.110
2013-03-01,0.050,0.080,0.100
2013-03-02,0.060,0.070,0.090
2013-03-03,0.010,0.040,0.060
2013-03-04,0.000,0.080,0.110
2013-03-05,0.110,0.110,0.110
2013-03-06,0.100,0.100,0.100
2013-03-07,0.080,0.100,0.130
2013-03-08,0.080,0.100,0.140
2013-03-09,0.050,0.120,0.260
2013-03-10,0.010,0.040,0.080
2013-03-11,0.040,0.060,0.080
2013-03-12,0.080,0.110,0.140
